actual,proposed
346.70587158203125,47.851844787597656
370.5793151855469,52.56916046142578
394.4527282714844,57.22770309448242
404.6841735839844,61.099674224853516
408.0946960449219,64.08440399169922
418.3261413574219,66.4775161743164
435.3785095214844,68.99871063232422
438.7890319824219,70.9745864868164
442.1995544433594,72.5462646484375
452.4309997558594,74.14427947998047
459.2519226074219,75.60871887207031
469.4833679199219,77.1416244506836
472.8938903808594,78.55155944824219
469.4833679199219,79.3668212890625
466.0728454589844,79.7513427734375
0.0,79.67117309570312
0.0,59.56194305419922
0.0,44.6925163269043
0.0,33.69650650024414
0.0,25.476680755615234
0.0,19.276506423950195
0.0,14.518852233886719
0.0,10.634230613708496
0.0,7.29583215713501
0.0,4.4310808181762695
0.0,1.904286503791809
0.0,0.38147085905075073
0.0,2.337510585784912
0.0,3.754427671432495
0.0,5.076686859130859
0.0,6.334444999694824
0.0,7.546364784240723
0.0,8.725790977478027
0.0,9.968446731567383
0.0,11.18681812286377
0.0,12.220938682556152
