actual,proposed
-0.3249899446964264,-0.3138420283794403
-0.3256962299346924,-0.31702718138694763
-0.3278150260448456,-0.3195040822029114
-0.3292275369167328,-0.3218786418437958
-0.3755992650985718,-0.32397836446762085
-0.37639978528022766,-0.33872804045677185
-0.3755992650985718,-0.3494918644428253
-0.3747987449169159,-0.35695135593414307
-0.27781012654304504,-0.36205071210861206
-0.2512248754501343,-0.3326069712638855
-0.2501375377178192,-0.30586889386177063
-0.24905018508434296,-0.2883104681968689
-0.2479628175497055,-0.27629390358924866
-0.24687547981739044,-0.26779550313949585
-0.2457880973815918,-0.261608362197876
-0.22436940670013428,-0.25697600841522217
-0.22287051379680634,-0.2474958449602127
-0.2213716059923172,-0.24037201702594757
-0.21987269818782806,-0.2348949909210205
-0.21837379038333893,-0.23057568073272705
-0.24369306862354279,-0.22707366943359375
-0.24313294887542725,-0.2318374663591385
-0.24201272428035736,-0.23507222533226013
-0.24089248478412628,-0.23705849051475525
-0.2397722601890564,-0.23815521597862244
-0.2217925488948822,-0.23861761391162872
-0.22075141966342926,-0.23380763828754425
-0.2197103053331375,-0.23007573187351227
-0.21918973326683044,-0.2271132916212082
-0.21918973326683044,-0.2248489409685135
-0.19730335474014282,-0.22323177754878998
-0.19730335474014282,-0.2158229649066925
-0.19730335474014282,-0.2105312943458557
-0.1963639259338379,-0.20675170421600342
-0.19589421153068542,-0.20378366112709045
-0.1949547827243805,-0.20152947306632996
-0.22265653312206268,-0.19965095818042755
-0.22372683882713318,-0.20622418820858002
-0.22533227503299713,-0.21122504770755768
-0.22640256583690643,-0.2152557671070099
-0.22693772614002228,-0.21844060719013214
-0.2030028998851776,-0.22086837887763977
-0.20347937941551208,-0.21576400101184845
-0.20395585894584656,-0.212254136800766
-0.20395585894584656,-0.2098831981420517
-0.20490878820419312,-0.2081896811723709
-0.21461404860019684,-0.20725227892398834
-0.21511192619800568,-0.2093556523323059
-0.21560978889465332,-0.21100030839443207
-0.216605544090271,-0.2123173177242279
-0.21710340678691864,-0.21354252099990845
-0.21809916198253632,-0.21455992758274078
-0.20324808359146118,-0.21557113528251648
-0.1600855439901352,-0.21205028891563416
-0.16044935584068298,-0.1945222169160843
-0.16081315279006958,-0.1835930496454239
-0.16117694973945618,-0.17653357982635498
-0.17954115569591522,-0.17188695073127747
-0.1799464076757431,-0.1741645783185959
-0.18035165965557098,-0.17586490511894226
-0.18075689673423767,-0.1771734207868576
-0.18116213381290436,-0.17821234464645386
-0.14241351187229156,-0.17906397581100464
-0.14273136854171753,-0.16851450502872467
-0.14336711168289185,-0.1611088216304779
-0.14432071149349213,-0.15602059662342072
-0.1452743113040924,-0.15266874432563782
-0.15014398097991943,-0.15055197477340698
-0.15144950151443481,-0.15043525397777557
-0.1527549922466278,-0.150725319981575
-0.154060497879982,-0.15130563080310822
-0.15536600351333618,-0.15209314227104187
-0.15699787437915802,-0.15302857756614685
-0.14560621976852417,-0.1541629582643509
-0.14740370213985443,-0.15171773731708527
-0.14890159666538239,-0.15048499405384064
-0.15099866688251495,-0.15003255009651184
-0.15309572219848633,-0.15030860900878906
-0.15650251507759094,-0.15110495686531067
-0.1586131751537323,-0.15264718234539032
-0.16102536022663116,-0.15435178577899933
-0.16343751549720764,-0.15625856816768646
-0.16615121066570282,-0.1583097279071808
-0.21907706558704376,-0.16055017709732056
-0.2222062647342682,-0.17727284133434296
-0.2249443084001541,-0.19011139869689941
-0.22846461832523346,-0.20006391406059265
-0.2319849133491516,-0.2081785798072815
-0.27835947275161743,-0.21498051285743713
-0.28113776445388794,-0.23308971524238586
-0.28391605615615845,-0.24681828916072845
-0.2871573567390442,-0.2574180066585541
-0.29039862751960754,-0.265915185213089
-0.3055165112018585,-0.27291062474250793
-0.3088887631893158,-0.2822268605232239
-0.3112974762916565,-0.2898447513580322
-0.3141879141330719,-0.2959742248058319
-0.3165965974330902,-0.3011782467365265
-0.2627622187137604,-0.30558353662490845
-0.24125847220420837,-0.2915719747543335
-0.2419806867837906,-0.275765061378479
-0.2419806867837906,-0.26544472575187683
-0.2423417717218399,-0.25841590762138367
-0.2427028864622116,-0.25366654992103577
-0.24635188281536102,-0.25045841932296753
-0.2467184215784073,-0.24926503002643585
-0.24745146930217743,-0.24852856993675232
-0.2478179931640625,-0.24821814894676208
-0.24818451702594757,-0.24810311198234558
-0.2950763702392578,-0.24812647700309753
-0.2946406304836273,-0.26158344745635986
-0.29376915097236633,-0.2710497975349426
-0.29333341121673584,-0.2775515615940094
-0.29333341121673584,-0.28206589818000793
-0.33092692494392395,-0.2852878272533417
-0.33092692494392395,-0.2983357608318329
-0.33092692494392395,-0.30765169858932495
-0.3314177393913269,-0.3143039047718048
-0.3314177393913269,-0.3191947042942047
-0.33190858364105225,-0.322687566280365
-0.37093740701675415,-0.3253224492073059
-0.3720311224460602,-0.33835697174072266
-0.373124897480011,-0.3479790687561035
-0.373124897480011,-0.3551640808582306
-0.3736717700958252,-0.36029601097106934
-0.38925623893737793,-0.3641178011894226
-0.3903938829898834,-0.37130051851272583
-0.39210036396980286,-0.376755952835083
-0.34205591678619385,-0.38114017248153687
-0.34304556250572205,-0.368828684091568
-0.37187525629997253,-0.36093807220458984
-0.37187525629997253,-0.36421871185302734
-0.3724116384983063,-0.36648306250572205
-0.3724116384983063,-0.3682189881801605
-0.3729480504989624,-0.36943796277046204
-0.3729480504989624,-0.3704533874988556
-0.3574502468109131,-0.3711724877357483
-0.3579636216163635,-0.36722704768180847
-0.3579636216163635,-0.36456841230392456
-0.3589903712272644,-0.3626752495765686
-0.3600171208381653,-0.3616200089454651
-0.3705211281776428,-0.3611612915992737
-0.3715732991695404,-0.36383870244026184
-0.3726254999637604,-0.36605045199394226
-0.37420374155044556,-0.36793017387390137
-0.37578198313713074,-0.3697234094142914
-0.43392235040664673,-0.37145495414733887
-0.4363417327404022,-0.3893081247806549
-0.43876105546951294,-0.402749240398407
-0.44118040800094604,-0.4130399823188782
-0.4429948329925537,-0.4210810363292694
-0.4715675711631775,-0.4273426830768585
-0.47349098324775696,-0.4399796724319458
-0.42240166664123535,-0.44955509901046753
-0.4246774911880493,-0.44111746549606323
-0.4263843595981598,-0.43613362312316895
-0.4705367386341095,-0.4332287311553955
-0.473034530878067,-0.4442112147808075
-0.4761567711830139,-0.4526232182979584
-0.4786545932292938,-0.4594495892524719
-0.48115232586860657,-0.46499624848365784
-0.4836500585079193,-0.46964794397354126
-0.5393638610839844,-0.4736706018447876
-0.5435143709182739,-0.49251559376716614
-0.5462813377380371,-0.5071286559104919
-0.5497400164604187,-0.5183382034301758
-0.5538904070854187,-0.5273233652114868
-0.5959321856498718,-0.5349220633506775
-0.5996295809745789,-0.5523681044578552
-0.6025874018669128,-0.5658795833587646
-0.6062847375869751,-0.5763721466064453
-0.6092424988746643,-0.5849213600158691
-0.6583497524261475,-0.5918718576431274
-0.6615298390388489,-0.6108706593513489
-0.6655048131942749,-0.6253476142883301
-0.6694796681404114,-0.6368228793144226
-0.6726595163345337,-0.6461544632911682
-0.7731040120124817,-0.6537280678749084
-0.7712302803993225,-0.6878457069396973
-0.7748317718505859,-0.7118164300918579
-0.7793336510658264,-0.7299000024795532
-0.7829349040985107,-0.7440683841705322
-0.8587606549263,-0.7551981806755066
-0.8636736869812012,-0.7848411202430725
-0.8676038980484009,-0.80739426612854
-0.8705514073371887,-0.8246133923530579
-0.8744814991950989,-0.8377475738525391
-0.8784113526344299,-0.8482482433319092
-0.9930347204208374,-0.8568694591522217
-0.9974545240402222,-0.895797610282898
-0.9996643662452698,-0.9248557686805725
-1.002979040145874,-0.9462368488311768
-1.0051887035369873,-0.9624530076980591
-1.0633149147033691,-0.9746655821800232
-1.0633149147033691,-1.000002384185791
-1.0644819736480713,-1.0180959701538086
-1.0691498517990112,-1.0313514471054077
-1.0714837312698364,-1.0421525239944458
-1.3484917879104614,-1.0505337715148926
-1.3470228910446167,-1.1357629299163818
-1.3499605655670166,-1.1961743831634521
-1.3528982400894165,-1.2401413917541504
-1.3573042154312134,-1.2723729610443115
-1.5573174953460693,-1.2966479063034058
-1.5589995384216309,-1.371214509010315
-1.562363624572754,-1.4249153137207031
-1.562363624572754,-1.4642125368118286
-1.562363624572754,-1.4922692775726318
-1.5640455484390259,-1.5123032331466675
-1.7891957759857178,-1.5270905494689941
-1.791113257408142,-1.6020832061767578
-1.7930307388305664,-1.6561481952667236
-1.7987827062606812,-1.6952875852584839
-1.8006999492645264,-1.7248750925064087
-2.0170812606811523,-1.7465487718582153
-2.0213654041290283,-1.8239715099334717
-2.0235073566436768,-1.8804395198822021
-2.0235073566436768,-1.9213533401489258
-2.0235073566436768,-1.9505594968795776
-2.4711484909057617,-1.9714115858078003
-2.473745346069336,-2.1147067546844482
-2.473745346069336,-2.217564105987549
-2.476341962814331,-2.2909023761749268
-2.473745346069336,-2.343961715698242
-2.473745346069336,-2.3810808658599854
-2.884892463684082,-2.407575845718384
-2.884892463684082,-2.544513463973999
-2.890901565551758,-2.6420586109161377
-2.8939056396484375,-2.7133171558380127
-2.8999130725860596,-2.7649996280670166
-3.1076269149780273,-2.8035948276519775
-3.110826253890991,-2.8907175064086914
-3.114025354385376,-2.953742504119873
-3.1076269149780273,-2.9996109008789062
-3.1076269149780273,-3.0305063724517822
-3.464747428894043,-3.052557945251465
-3.461209535598755,-3.170846939086914
-3.461209535598755,-3.2540712356567383
-3.461209535598755,-3.313389539718628
-3.4576711654663086,-3.355693817138672
-3.6787192821502686,-3.38486385345459
-3.6824653148651123,-3.4691107273101807
-3.6824653148651123,-3.5302233695983887
-3.6824653148651123,-3.5738003253936768
-3.6824653148651123,-3.6048882007598877
-3.880425453186035,-3.6270740032196045
-3.8725829124450684,-3.699688673019409
-3.8647384643554688,-3.749194622039795
-3.8686609268188477,-3.7822554111480713
-3.8686609268188477,-3.8069698810577393
-3.8686609268188477,-3.8246097564697266
-4.008702278137207,-3.837203025817871
-4.00465202331543,-3.88631272315979
-4.000600337982178,-3.9201765060424805
-3.996548652648926,-3.943179130554199
-3.996548652648926,-3.9584383964538574
-4.058136940002441,-3.969332456588745
-4.058136940002441,-3.9947354793548584
-4.054023742675781,-4.0128655433654785
-4.049910068511963,-4.024631500244141
-4.049910068511963,-4.031856536865234
-4.1889519691467285,-4.037015914916992
-4.1931915283203125,-4.080516815185547
-4.1931915283203125,-4.112759590148926
-4.1931915283203125,-4.13576602935791
-4.1889519691467285,-4.152186393737793
-4.37698221206665,-4.162696361541748
-4.37698221206665,-4.2241082191467285
-4.37698221206665,-4.267882823944092
-4.37698221206665,-4.299103260040283
-4.37698221206665,-4.321379661560059
-4.37698221206665,-4.337278842926025
-4.463987827301025,-4.348628997802734
-4.459506988525391,-4.381645202636719
-4.459506988525391,-4.40391731262207
-4.459506988525391,-4.41981315612793
-4.455025672912598,-4.431160926818848
-4.815515041351318,-4.437982082366943
-4.820308685302734,-4.546481132507324
-4.815515041351318,-4.625055313110352
-4.810719966888428,-4.679637432098389
-4.805923938751221,-4.717167854309082
-5.2202839851379395,-4.742563247680664
-5.20997428894043,-4.880151271820068
-5.204817771911621,-4.974916934967041
-5.204817771911621,-5.040863513946533
-5.19965934753418,-5.087841033935547
-5.19965934753418,-5.119851589202881
-5.446568489074707,-5.142685890197754
-5.441202640533447,-5.229984283447266
-5.441202640533447,-5.290564060211182
-5.451932907104492,-5.333722114562988
-5.441202640533447,-5.367569923400879
-5.690828323364258,-5.388636589050293
-5.685257911682129,-5.475470542907715
-5.690828323364258,-5.53564977645874
-5.679686069488525,-5.580118656158447
-5.679686069488525,-5.608621120452881
-5.9930572509765625,-5.628953456878662
-5.987244129180908,-5.733738422393799
-5.981428623199463,-5.8065385818481445
-5.987244129180908,-5.856684684753418
-5.987244129180908,-5.8940863609313965
-6.31361722946167,-5.920753479003906
-6.301506042480469,-6.033932209014893
-6.301506042480469,-6.110818386077881
-6.28938627243042,-6.165524005889893
-6.283323287963867,-6.201007843017578
-6.610625743865967,-6.2245683670043945
-6.604323387145996,-6.33582067489624
-6.604323387145996,-6.413000106811523
-6.604323387145996,-6.467901229858398
-6.598017692565918,-6.506999969482422
-6.591710090637207,-6.533059120178223
-6.822286128997803,-6.549839019775391
-6.81581974029541,-6.628177165985107
-6.8028788566589355,-6.682026386260986
-6.796403884887695,-6.716654300689697
-6.796403884887695,-6.739482879638672
-7.195815563201904,-6.755767822265625
-7.20253324508667,-6.8828558921813965
-7.195815563201904,-6.974917888641357
-7.195815563201904,-7.0383806228637695
-7.195815563201904,-7.083540439605713
-7.369630813598633,-7.115710258483887
-7.376453876495361,-7.188732147216797
-7.376453876495361,-7.242627143859863
-7.369630813598633,-7.280996322631836
-7.362804889678955,-7.3063788414001465
-7.464915752410889,-7.322524070739746
-7.451131343841553,-7.3633599281311035
-7.437332630157471,-7.388495922088623
-7.437332630157471,-7.402467250823975
-7.4442338943481445,-7.412437915802002
-7.451131343841553,-7.421530246734619
-7.60559606552124,-7.429994106292725
-7.612579822540283,-7.480402946472168
-7.626534461975098,-7.5183024406433105
-7.626534461975098,-7.54931640625
-7.619559288024902,-7.571424961090088
-7.7700581550598145,-7.585196018218994
-7.762994289398193,-7.638282775878906
-7.755927085876465,-7.674037456512451
-7.755927085876465,-7.697487831115723
-7.762994289398193,-7.714211463928223
-7.708244800567627,-7.728168487548828
-7.687028884887695,-7.722479343414307
-7.665777206420898,-7.712360382080078
-7.651590824127197,-7.699068069458008
